rank,full_name,stars,url,cbo_avg,dit_avg,lcom_avg,error_message
1,Snailclimb/JavaGuide,151673,https://github.com/Snailclimb/JavaGuide,error,error,error,class.csv not generated by CK
2,krahets/hello-algo,116414,https://github.com/krahets/hello-algo,error,error,error,class.csv not generated by CK
3,GrowingGit/GitHub-Chinese-Top-Charts,102048,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,error,error,error,class.csv not generated by CK
4,iluwatar/java-design-patterns,92630,https://github.com/iluwatar/java-design-patterns,error,error,error,class.csv not generated by CK
5,macrozheng/mall,81546,https://github.com/macrozheng/mall,error,error,error,class.csv not generated by CK
6,spring-projects/spring-boot,78333,https://github.com/spring-projects/spring-boot,error,error,error,class.csv not generated by CK
7,doocs/advanced-java,78221,https://github.com/doocs/advanced-java,error,error,error,class.csv not generated by CK
8,MisterBooo/LeetCodeAnimation,76443,https://github.com/MisterBooo/LeetCodeAnimation,error,error,error,class.csv not generated by CK
9,elastic/elasticsearch,73755,https://github.com/elastic/elasticsearch,error,error,error,class.csv not generated by CK
10,Stirling-Tools/Stirling-PDF,66690,https://github.com/Stirling-Tools/Stirling-PDF,error,error,error,class.csv not generated by CK
11,kdn251/interviews,64451,https://github.com/kdn251/interviews,error,error,error,class.csv not generated by CK
12,TheAlgorithms/Java,63323,https://github.com/TheAlgorithms/Java,error,error,error,class.csv not generated by CK
13,NationalSecurityAgency/ghidra,60075,https://github.com/NationalSecurityAgency/ghidra,error,error,error,class.csv not generated by CK
14,spring-projects/spring-framework,58819,https://github.com/spring-projects/spring-framework,error,error,error,class.csv not generated by CK
15,google/guava,51091,https://github.com/google/guava,error,error,error,class.csv not generated by CK
16,ReactiveX/RxJava,48308,https://github.com/ReactiveX/RxJava,error,error,error,class.csv not generated by CK
17,skylot/jadx,45426,https://github.com/skylot/jadx,error,error,error,class.csv not generated by CK
18,dbeaver/dbeaver,45311,https://github.com/dbeaver/dbeaver,error,error,error,class.csv not generated by CK
19,termux/termux-app,44944,https://github.com/termux/termux-app,error,error,error,class.csv not generated by CK
20,jeecgboot/JeecgBoot,43830,https://github.com/jeecgboot/JeecgBoot,error,error,error,class.csv not generated by CK
